Year,F,M,female_percentage,male_percentage
1896,0.0,380.0,0.0,1.0
1900,33.0,1903.0,0.017045454545454544,0.9829545454545454
1904,16.0,1285.0,0.012298232129131437,0.9877017678708686
1906,11.0,1722.0,0.006347374495095211,0.9936526255049047
1908,47.0,3054.0,0.015156401160915834,0.9848435988390841
1912,87.0,3953.0,0.021534653465346533,0.9784653465346534
1920,134.0,4158.0,0.031220876048462257,0.9687791239515378
1924,261.0,5432.0,0.045845775513788864,0.9541542244862111
1928,437.0,5137.0,0.07839971295299605,0.9216002870470039
1932,369.0,2952.0,0.1111111111111111,0.8888888888888888
1936,549.0,6852.0,0.07417916497770571,0.9258208350222943
1948,761.0,6718.0,0.10175157106565048,0.8982484289343495
1952,1680.0,7671.0,0.17965992941931344,0.8203400705806866
1956,1136.0,5246.0,0.1780006267627703,0.8219993732372297
1960,1730.0,7500.0,0.18743228602383533,0.8125677139761647
1964,1752.0,7728.0,0.1848101265822785,0.8151898734177215
1968,2193.0,8280.0,0.2093955886565454,0.7906044113434546
1972,2605.0,9342.0,0.2180463714740102,0.7819536285259898
1976,2605.0,7893.0,0.24814250333396837,0.7518574966660316
1980,2186.0,6751.0,0.2446010965648428,0.7553989034351573
1984,2983.0,8591.0,0.2577328494902367,0.7422671505097632
1988,4222.0,10427.0,0.2882107993719708,0.7117892006280292
1992,5164.0,11212.0,0.31533952125061065,0.6846604787493894
1994,1105.0,2055.0,0.34968354430379744,0.6503164556962026
1996,4998.0,8747.0,0.36362313568570387,0.6363768643142961
1998,1384.0,2221.0,0.3839112343966713,0.6160887656033287
2000,5418.0,8380.0,0.3926656037106827,0.6073343962893173
2002,1582.0,2527.0,0.3850085178875639,0.6149914821124361
2004,5531.0,7890.0,0.4121153416287907,0.5878846583712093
2006,1757.0,2625.0,0.4009584664536741,0.5990415335463258
2008,5793.0,7773.0,0.4270234409553295,0.5729765590446705
2010,1847.0,2555.0,0.4195820081781009,0.5804179918218991
2012,5791.0,7093.0,0.4494722135982614,0.5505277864017386
2014,2023.0,2868.0,0.41361684727049686,0.5863831527295031
2016,6203.0,7453.0,0.4542325717633275,0.5457674282366726
