region,F,M,total,female_percentage
Afghanistan,5,121,126,3.968253968253968
Albania,27,43,70,38.57142857142858
Algeria,94,457,551,17.05989110707804
American Samoa,7,30,37,18.91891891891892
Andorra,42,127,169,24.85207100591716
Angola,129,138,267,48.31460674157304
Antigua,37,96,133,27.819548872180448
Argentina,643,2654,3297,19.502578101304216
Armenia,38,183,221,17.194570135746606
Aruba,16,26,42,38.095238095238095
Australia,2751,4973,7724,35.6162610046608
Austria,1100,4041,5141,21.396615444466057
Azerbaijan,71,212,283,25.08833922261484
Bahamas,100,274,374,26.737967914438503
Bahrain,31,95,126,24.6031746031746
Bangladesh,13,42,55,23.636363636363637
Barbados,39,180,219,17.80821917808219
Belarus,794,993,1787,44.43200895355344
Belgium,604,3253,3857,15.659839253305677
Belize,9,67,76,11.842105263157894
Benin,14,57,71,19.718309859154928
Bermuda,41,171,212,19.339622641509436
Bhutan,17,19,36,47.22222222222222
Boliva,36,116,152,23.684210526315788
Bosnia and Herzegovina,39,95,134,29.1044776119403
Botswana,7,83,90,7.777777777777778
Brazil,1148,2700,3848,29.83367983367983
Brunei,2,8,10,20.0
Bulgaria,1069,2461,3530,30.28328611898017
Burkina Faso,15,29,44,34.090909090909086
Burundi,14,25,39,35.8974358974359
Cambodia,17,46,63,26.984126984126984
Cameroon,94,218,312,30.128205128205128
Canada,3563,6171,9734,36.60365728374769
Cape Verde,9,9,18,50.0
Cayman Islands,12,71,83,14.457831325301203
Central African Republic,16,51,67,23.88059701492537
Chad,10,31,41,24.390243902439025
Chile,118,807,925,12.756756756756756
China,2992,2834,5826,51.355990387916236
Colombia,295,774,1069,27.595884003741816
Comoros,8,11,19,42.10526315789473
Cook Islands,16,24,40,40.0
Costa Rica,65,199,264,24.62121212121212
Croatia,236,640,876,26.94063926940639
Cuba,588,1891,2479,23.719241629689392
Curacao,12,67,79,15.18987341772152
Cyprus,58,167,225,25.77777777777778
Czech Republic,1603,4828,6431,24.92613901415021
Democratic Republic of the Congo,25,68,93,26.881720430107524
Denmark,710,2860,3570,19.88795518207283
Djibouti,5,33,38,13.157894736842104
Dominica,7,12,19,36.84210526315789
Dominican Republic,72,205,277,25.992779783393498
Ecuador,64,213,277,23.104693140794225
Egypt,181,1441,1622,11.159062885326756
El Salvador,66,152,218,30.275229357798167
Equatorial Guinea,11,29,40,27.500000000000004
Eritrea,6,37,43,13.953488372093023
Estonia,221,655,876,25.228310502283108
Ethiopia,92,286,378,24.33862433862434
Fiji,67,165,232,28.879310344827587
Finland,992,4475,5467,18.1452350466435
France,2781,9977,12758,21.798087474525786
Gabon,15,48,63,23.809523809523807
Gambia,13,43,56,23.214285714285715
Georgia,72,214,286,25.174825174825177
Germany,4849,11034,15883,30.529496946420704
Ghana,58,301,359,16.15598885793872
Greece,655,2537,3192,20.520050125313283
Grenada,17,37,54,31.48148148148148
Guam,27,85,112,24.107142857142858
Guatemala,75,350,425,17.647058823529413
Guinea,15,58,73,20.54794520547945
Guinea-Bissau,8,13,21,38.095238095238095
Guyana,21,81,102,20.588235294117645
Haiti,19,87,106,17.92452830188679
Honduras,39,150,189,20.634920634920633
Hungary,1748,4859,6607,26.456788254881186
Iceland,129,498,627,20.574162679425836
India,241,1167,1408,17.116477272727273
